Time;Temp;Luftfuktighet;Lutftryck;Vikt
2022-07-05 08:00:00.000;17,934655;46,500833;930,333;121,261666
2022-07-05 09:00:00.000;18,395;47,229322;927,843898;120,703793
2022-07-05 10:00:00.000;20,383275;46,747457;936,806101;119,545166
2022-07-05 11:00:00.000;20,929655;46,937166;941,302166;119,445166
2022-07-05 12:00:00.000;20,087192;47,645084;937,249322;119,206271
2022-07-05 13:00:00.000;19,484482;47,0245;941,24;119,264915
2022-07-05 14:00:00.000;20,075862;47,098333;941,850333;118,415666
2022-07-05 15:00:00.000;20,443214;47,182093;942,53093;117,825087
2022-07-06 07:00:00.000;17,311754;84,55;653,63;121,568305
2022-07-06 08:00:00.000;17,294035;47,2165;921,66;121,315423
2022-07-06 09:00:00.000;18,905862;46,7855;930,805166;119,975932
2022-07-06 10:00:00.000;21,397241;47,114;938,195333;118,5845
2022-07-06 11:00:00.000;21,769827;47,371016;943,341355;117,997288
2022-07-06 12:00:00.000;20,732241;47,479666;944,235;117,833
2022-07-06 13:00:00.000;20,811551;47,499166;942,943;117,281166
2022-07-06 14:00:00.000;20,973965;47,5685;943,483833;116,750677
2022-07-06 15:00:00.000;20,434827;47,646833;944,1615;116,775333
2022-07-06 16:00:00.000;20,293965;47,684333;943,833;117,003559
2022-07-06 17:00:00.000;19,978103;47,843666;946,5555;116,0145
2022-07-06 18:00:00.000;19,467068;47,886833;946,480166;115,856
2022-07-06 19:00:00.000;19,105517;47,894;945,536166;116,097796
2022-07-06 20:00:00.000;18,417241;47,862711;943,931525;116,325
2022-07-06 21:00:00.000;17,633448;47,751333;940,8485;116,684406
2022-07-06 22:00:00.000;16,776724;47,624333;938,012833;117,2315
2022-07-06 23:00:00.000;15,886379;47,506666;935,561833;117,69644
2022-07-07 00:00:00.000;15,163103;47,403833;933,115833;117,9705
2022-07-07 01:00:00.000;14,484137;47,304833;930,566;118,325833
2022-07-07 02:00:00.000;14,186206;47,1815;927,578833;118,679661
2022-07-07 03:00:00.000;14,205862;47,089166;926,073333;119,076166
2022-07-07 04:00:00.000;14,340344;47,023728;925,140677;119,236949
2022-07-07 05:00:00.000;14,132241;46,977;924,6905;119,524666
2022-07-07 06:00:00.000;14,102413;46,950833;924,642;119,836333
2022-07-07 07:00:00.000;14,32;46,9445;924,526333;120,305932
2022-07-07 08:00:00.000;14,680517;46,936166;924,166666;120,991666
2022-07-07 09:00:00.000;15,369827;46,955333;924,353666;121,441
2022-07-07 10:00:00.000;16,15;46,996166;925,2425;121,979322
2022-07-07 11:00:00.000;17,299137;47,093666;927,670166;122,334166
2022-07-07 12:00:00.000;18,676379;47,2955;932,446;122,219491
2022-07-07 13:00:00.000;18,076379;47,511333;937,234333;122,996166
2022-07-07 14:00:00.000;18,941896;47,618666;939,276666;123,372166
2022-07-07 15:00:00.000;18,221379;47,711016;941,184406;123,896101
2022-07-07 16:00:00.000;18,500701;48,376;936,756333;124,187288
2022-07-07 17:00:00.000;18,575;47,829666;941,8315;124,505762
2022-07-07 18:00:00.000;19,022586;47,958;943,763833;123,894166
2022-07-07 19:00:00.000;18,436724;48,138813;946,083389;123,891525
2022-07-07 20:00:00.000;17,648793;48,292333;946,436833;124,188833
2022-07-07 21:00:00.000;16,943448;48,411166;945,5175;124,66661
2022-07-07 22:00:00.000;16,793793;48,438833;942,875833;125,072166
2022-07-07 23:00:00.000;16,262586;48,444;940,325;125,629166
2022-07-08 00:00:00.000;15,690517;48,4195;937,326666;125,855762
2022-07-08 01:00:00.000;15,099482;48,354;934,864;126,093166
2022-07-08 02:00:00.000;14,651896;48,293166;932,771333;126,258305
2022-07-08 03:00:00.000;14,185689;48,231016;930,754067;126,448833
2022-07-08 04:00:00.000;13,575689;48,117166;927,876833;126,718833
2022-07-08 05:00:00.000;13,433793;47,996833;925,480166;126,737796
2022-07-08 06:00:00.000;13,728965;47,9515;924,428333;126,686166
2022-07-08 07:00:00.000;14,359137;47,8805;922,884333;126,651525
2022-07-08 08:00:00.000;14,653103;47,8765;923,1185;126,413333
2022-07-08 09:00:00.000;15,695344;47,8845;923,439833;126,099833
2022-07-08 10:00:00.000;17,044482;48,073;928,095166;125,181525
2022-07-08 11:00:00.000;18,751034;48,286833;932,699333;124,402666
2022-07-08 12:00:00.000;20,759137;48,540833;937,919666;123,551525
2022-07-08 13:00:00.000;21,675;48,825333;943,466;122,8785
2022-07-08 14:00:00.000;22,021551;49,037;947,1035;122,270508
2022-07-08 15:00:00.000;22,188275;49,189661;949,944915;121,740666
2022-07-08 16:00:00.000;22,333793;49,286666;951,359;121,390333
2022-07-08 17:00:00.000;21,878793;49,2815;952,1335;121,328474
